county_fips,county_name,state,centroid_lat,centroid_lon
05077,"Lee, AR",AR,34.78065178564233,-90.78212191166011
01017,"Chambers, AL",AL,32.91434535110719,-85.39203021569158
05129,"Searcy, AR",AR,35.91089957257719,-92.69950814142427
13063,"Clayton, GA",GA,33.54190470997107,-84.35764422823787
13159,"Jasper, GA",GA,33.316395871421726,-83.68805768375236
06031,"Kings, CA",CA,36.07534371008504,-119.81555065669141
06035,"Lassen, CA",CA,40.673589098637045,-120.59431538478663
06075,"San Francisco, CA",CA,37.75616436865514,-122.44304167780719
08003,"Alamosa, CO",CO,37.5729353487017,-105.78836680671557
08015,"Chaffee, CO",CO,38.74701250608263,-106.19412663972602
13003,"Atkinson, GA",GA,31.297133177431412,-82.88007086610327
12035,"Flagler, FL",FL,29.461424845918263,-81.31356839145538
12059,"Holmes, FL",FL,30.867921065400104,-85.81401730838496
12087,"Monroe, FL",FL,25.315618299144987,-81.11063629941323
12109,"St. Johns, FL",FL,29.901641120442296,-81.44066458471889
12111,"St. Lucie, FL",FL,27.377256464055723,-80.47202647272215
05149,"Yell, AR",AR,35.00261093322689,-93.41123285260815
06021,"Glenn, CA",CA,39.59820149120442,-122.39199901384109
06025,"Imperial, CA",CA,33.03951207342643,-115.36535115086141
06061,"Placer, CA",CA,39.06345956799667,-120.71755875765689
06109,"Tuolumne, CA",CA,38.027588914238436,-119.95475499078796
13117,"Forsyth, GA",GA,34.225543250240136,-84.12502041036171
13169,"Jones, GA",GA,33.02512491413167,-83.5604947961818
13197,"Marion, GA",GA,32.35339325258453,-84.52466882566891
17067,"Hancock, IL",IL,40.40374091628328,-91.16474814074412
17183,"Vermilion, IL",IL,40.183416435897776,-87.7328147124891
13059,"Clarke, GA",GA,33.951178294195735,-83.36733044991767
13069,"Coffee, GA",GA,31.549285774251164,-82.84917705280685
13083,"Dade, GA",GA,34.85455198002998,-85.50451949439496
17053,"Ford, IL",IL,40.59716807101521,-88.2232955118473
13145,"Harris, GA",GA,32.73603909608057,-84.90889194436292
13023,"Bleckley, GA",GA,32.43444533648342,-83.32781353408475
13037,"Calhoun, GA",GA,31.529222291905548,-84.62453274545412
13053,"Chattahoochee, GA",GA,32.34698433321824,-84.78702090474057
17073,"Henry, IL",IL,41.35313698817153,-90.13143102263491
17097,"Lake, IL",IL,42.323339937272166,-88.00365402815346
17059,"Gallatin, IL",IL,37.762743639694676,-88.23044404237568
17063,"Grundy, IL",IL,41.285111119387274,-88.41846873638005
13093,"Dooly, GA",GA,32.15718703870342,-83.79879578129346
16051,"Jefferson, ID",ID,43.82015471609615,-112.31130823310612
16065,"Madison, ID",ID,43.784147360671035,-111.65923422083543
13111,"Fannin, GA",GA,34.86408398906588,-84.31983386746593
13243,"Randolph, GA",GA,31.76265514822153,-84.7541886427644
13257,"Stephens, GA",GA,34.55394199534727,-83.29347237703007
17011,"Bureau, IL",IL,41.40412582926175,-89.52866709484049
17015,"Carroll, IL",IL,42.06868734214896,-89.93439024723124
18099,"Marshall, IN",IN,41.324840167674886,-86.26175726749923
18101,"Martin, IN",IN,38.70801365526136,-86.8030733714071
13287,"Turner, GA",GA,31.716381919615852,-83.6240915796479
13295,"Walker, GA",GA,34.73564648783483,-85.30099086456465
15003,"Honolulu, HI",HI,21.500781271696564,-158.1053393996942
16009,"Benewah, ID",ID,47.217552580658634,-116.65870892318665
18003,"Allen, IN",IN,41.09088453099658,-85.06657404141417
17149,"Pike, IL",IL,39.62250377745868,-90.88629694348211
17159,"Richland, IL",IL,38.71241555982673,-88.08510899511614
17107,"Logan, IL",IL,40.12455659076004,-89.36753851763163
17115,"Macon, IL",IL,39.85998989241613,-88.96155997907879
17121,"Marion, IL",IL,38.64959343207136,-88.91898306643903
17131,"Mercer, IL",IL,41.205339100789686,-90.74144591818475
17135,"Montgomery, IL",IL,39.23103311855495,-89.47888817792764
17145,"Perry, IL",IL,38.08375244619143,-89.36700209948503
13233,"Polk, GA",GA,34.00179086403913,-85.18814290718093
13239,"Quitman, GA",GA,31.867347385442194,-85.01877002581864
18031,"Decatur, IN",IN,39.307001474391214,-85.50110907630223
18037,"Dubois, IN",IN,38.36427303649641,-86.87981142676438
18041,"Fayette, IN",IN,39.64002907719432,-85.17876388409131
18055,"Greene, IN",IN,39.03634430785281,-86.96204482196728
18065,"Henry, IN",IN,39.93106319830469,-85.39642519959389
18075,"Jay, IN",IN,40.43795740161875,-85.00570481094738
18085,"Kosciusko, IN",IN,41.24407150732547,-85.86071564344066
18091,"LaPorte, IN",IN,41.54598753848309,-86.73996089293485
18109,"Morgan, IN",IN,39.4815696268052,-86.44623079230766
16019,"Bonneville, ID",ID,43.387737272199224,-111.61479126751085
16021,"Boundary, ID",ID,48.766868569461685,-116.46287427634843
16045,"Gem, ID",ID,44.06154619190838,-116.39751661550372
17029,"Coles, IL",IL,39.52027962074658,-88.22179644067498
18181,"White, IN",IN,40.74975985544136,-86.86548809081866
19007,"Appanoose, IA",IA,40.7431700905196,-92.8686187703517
19017,"Bremer, IA",IA,42.77458652030272,-92.3180539317849
19025,"Calhoun, IA",IA,42.385185505883165,-94.6404036245246
18095,"Madison, IN",IN,40.161610412315575,-85.71935636349004
18097,"Marion, IN",IN,39.781711193617234,-86.1384702727316
17173,"Shelby, IL",IL,39.39113855185178,-88.80553885746764
17177,"Stephenson, IL",IL,42.35172178233953,-89.6623640191516
16075,"Payette, ID",ID,44.00675700258795,-116.76082111289901
17005,"Bond, IL",IL,38.88683305359005,-89.43554636928486
19103,"Johnson, IA",IA,41.671532538266206,-91.5881044028689
19117,"Lucas, IA",IA,41.02939549751047,-93.32773854965649
19127,"Marshall, IA",IA,42.03583447054834,-92.99878979177903
19131,"Mitchell, IA",IA,43.35636379399147,-92.78901295943757
20105,"Lincoln, KS",KS,39.045308689163214,-98.20769052920934
20109,"Logan, KS",KS,38.917303856268006,-101.14840969371983
20111,"Lyon, KS",KS,38.45619845237337,-96.15264733219634
20113,"McPherson, KS",KS,38.39165317458447,-97.64801952073267
19135,"Monroe, IA",IA,41.02979568679779,-92.86900423184778
19041,"Clay, IA",IA,43.08257225781066,-95.15093604388913
18017,"Cass, IN",IN,40.76153986764884,-86.34598335434868
20049,"Elk, KS",KS,37.45368647213352,-96.24415484874585
20057,"Ford, KS",KS,37.69171750246171,-99.88795653621146
18115,"Ohio, IN",IN,38.950078790921296,-84.9650911161703
18119,"Owen, IN",IN,39.31280489945843,-86.83767051132983
18121,"Parke, IN",IN,39.77363464069859,-87.20637911496482
20091,"Johnson, KS",KS,38.88376637108757,-94.82231676678707
20097,"Kiowa, KS",KS,37.55822973537817,-99.28607727026751
20101,"Lane, KS",KS,38.48133333892274,-100.4664250982408
19049,"Dallas, IA",IA,41.68487011516291,-94.03977090170676
18133,"Putnam, IN",IN,39.66628078271651,-86.844995992361
18157,"Tippecanoe, IN",IN,40.388619810903435,-86.89405932795191
18111,"Newton, IN",IN,40.955838123969755,-87.39757007530145
17021,"Christian, IL",IL,39.54583198530187,-89.2772528468795
19159,"Ringgold, IA",IA,40.73516518832041,-94.2439881234756
19165,"Shelby, IA",IA,41.68509094897652,-95.3101778898982
20063,"Gove, KS",KS,38.91609173974979,-100.48296674923587
20073,"Greenwood, KS",KS,37.87782471018117,-96.2326122179414
20077,"Harper, KS",KS,37.19162258456055,-98.0754831271809
20085,"Jackson, KS",KS,39.4168246354084,-95.79366875452119
19169,"Story, IA",IA,42.036231175964254,-93.46503839186238
19189,"Winnebago, IA",IA,43.377510104571485,-93.73413099122696
20001,"Allen, KS",KS,37.88572095021543,-95.30135940483048
20009,"Barton, KS",KS,38.47896320030098,-98.75645855231625
20015,"Butler, KS",KS,37.78123819078358,-96.83904179782965
